sku,asin,type,product_sku,product_asin
BA-TW-NEWT1001-WHX4,B078HYV3XT,Combo,BA-K-1001-WHX2,
BA-TW-NEWT1191-BKX4,B078J34YP1,Combo,BA-TW-NEWT1191-BKX2,B076P2L7Q8
BA-TW-NEWT1191-WHX4,B079L15GRD,Combo,BA-TW-NEWT1191-WHX2,B076P14Y6C
BA-TW-NEWT307G-BKX4,B078HP5WL5,Combo,BA-K-307G-BKX2,
BA-TW-NEWT307G-WHX4,B078HVZHQP,Combo,BA-TW-NEWT307G-WHX2,B0776Q5MXD
BA-TW-NEWT328G-BKX4,B078HP8VF7,Combo,BA-K-328G-BKX2,
BA-TW-NEWT328G-WHX4,B078HS3PDJ,Combo,BA-TW-NEWT328G-WHX2,B077YMVY75
BA-TW-NEWT4024-WDX4,B078HRVS17,Combo,BA-TW-NEWT4024-WDX2,B077YGL761
BA-TW-NEWT706-BG-X4,B078HYX6DD,Combo,BA-TW-NEWT706-BG-X2,B077YG8GX3
BA-TW-NEWT706-BK-X4,B078HYPRJP,Combo,BA-TW-NEWT706-BK-X2,B077YHSV62
BA-TW-NEWT706-WH-X4,B078HRP2V5,Combo,BA-TW-NEWT706-WH-X2,B077YFSNJJ
BA-TW-NEWT710N-BG-X4,B078HZVKKQ,Combo,BA-TW-NEWT710N-BG-X2,B077YD62TF
BA-TW-NEWT710N-BK-X4,B078HX17JV,Combo,BA-K-710N-BKX2,
BA-TW-NEWT710N-WH-X4,B078HRZDGB,Combo,BA-K-710N-WHX2,
BA-TW-T1185-BKX4,B078HR4PCQ,Combo,BA-TW-T1185-BKX2,B077YFF8DG
BA-TW-T1185-WHX4,B078HP8LNH,Combo,BA-TW-T1185-WHX2,B077YGFQZX
BA-TW-T1568-BEIGEX4,B077YFF9J7,Combo,BA-TW-T1568-BEIGEX2,B077YHXRNL
BA-TW-T16126-WHX4,B077YDWBM6,Combo,BA-TW-T16126-WHX2,B077YGDMPD
BA-TW-T5033A-BKX4,B077YM53SP,Combo,BA-TW-T5033A-BKX2,B077YDQRHT
BA-TW-T6028-BKX4,B077YGDQ26,Combo,BA-TW-T6028-BKX2,B077YDXGQM
BA-TW-T6028-WHX4,B077YFJLH6,Combo,BA-TW-T6028-WHX2,B077YFBZ5X
BA-TW-T7009-BLACK-X4,B077YGNYFV,Combo,BA-TW-T7009-BLACK-X2,B077YH776Y
BA-TW-V17-098BACK-BKX2,B07CSHTQM4,Combo,BA-TW-V17-098BACK-BK,B07CSHZX78
BA-TW-V17-1168-BKX4,B078HMF2CL,Combo,BA-TW-V17-1168-BKX2,B077YHM8DC
BA-TW-V17-407MT-BKX2,B07MNW46QN,Combo,BA-TW-V17-407MT-BK,B07MQZBG9V
BA-TW-V17-COF-CH46X4,B078HZ84QK,Combo,BA-TW-V17-COF-CH46X2,B077Z3KD2F
BA-TW-V17-COF-SET,B078HMB9VP,Combo,BA-TW-V17-COF-TAB,B078HXCTG4
BA-TW-V17-DIN5901-GYX4,B077YP6469,Combo,BA-TW-V17-DIN5901-GYX2,B077YJ1FJJ
BA-TW-V17-IND5625-66HX2,B0785RF1Q4,Combo,BA-TW-V17-IND5625-66H,B076P5QH8X
BA-TW-V17-IND5625-76HX2,B077Z3H2RD,Combo,BA-TW-V17-IND5625-76H,B076P2MQGC
BA-TW-V17-T14134BACK-BKX2,B07NP6WM9X,Combo,BA-TW-V17-T14134BACK-BK,B07NP2JVL1
BA-TW-V17-T14134-BKX2,B07CSLJ26F,Combo,BA-TW-V17-T14134-BK,B07CSHFD46
BA-TW-V17-T14134-NTX2,B07MNW42YD,Combo,BA-TW-V17-T14134-NT,B07M63SSLB
BA-TW-V17-T3402-GYX4,B077YFWVPB,Combo,BA-TW-V17-T3402-GYX2,B0785NXBQM
BA-TW-V17-T5074-BKX4,B078BX8YHF,Combo,BA-TW-V17-T5074-BKX2,B078BB5PKV
BA-TW-V17-T5092-GYX4,B078D7JBJD,Combo,BA-TW-V17-T5092-GYX2,B0776Q69ML
BA-TW-V17-T5095-BKX4,B078B96YCV,Combo,BA-TW-V17-T5095-BKX2,B077ZPRPKT
BENT-C-077-BKX4,B078GHPWW8,Combo,BENT-C-077-BKX2,B078GHHVX6
BENT-C-077-WHX4,B078GC4C2N,Combo,BENT-C-077-WHX2,B078GJVKSD
BENT-C-078A-CRX4,B078GFV57K,Combo,BENT-C-078A-CRX2,B078GHPWWC
BENT-C-078A-GYX4,B078GNCYX1,Combo,BENT-C-078A-GYX2,B078GBNGWH
BENT-C-5020-TAX4,B078GD3YTC,Combo,BENT-C-5020-TAX2,B078GCGMFP
